13	2	1	2	2	2	3	2	1	1	2	0	2	2
14	2	1	1	1	1	2	1	1	1	1	0	1	2
16	2	1	1	1	1	2	1	1	1	1	0	1	2
17	2	1	1	1	1	2	1	1	1	1	0	1	2
19	2	1	1	1	1	2	1	1	1	2	0	1	2
25	2	1	1	1	1	2	1	1	1	1	0	2	2
31	2	1	2	2	3	3	1	1	2	4	0	4	3
32	2	2	1	2	3	3	1	2	1	2	3	4	3
34	2	1	1	2	3	3	1	2	1	1	0	2	2
35	2	1	1	1	1	2	1	1	1	2	0	2	2
58	2	2	1	1	2	2	2	1	1	1	1	4	3
60	2	1	1	2	3	3	1	2	1	1	0	2	2
64	2	2	1	2	3	3	1	2	1	1	1	2	2
69	2	2	2	2	3	3	1	2	1	2	3	2	2
71	2	2	2	2	3	3	1	2	1	4	4	4	3
72	1	1	1	1	2	2	2	1	1	0	0	2	2
74	1	2	1	2	3	3	1	2	1	0	1	1	2
78	2	1	1	2	2	3	2	1	1	1	0	3	3
82	2	2	1	2	3	3	1	1	2	2	1	4	3
88	2	2	1	1	1	2	1	1	1	2	1	2	2
90	2	1	1	1	1	2	1	1	1	1	0	1	2
97	2	1	1	2	3	3	1	1	2	2	0	4	3
99	2	1	1	2	3	3	1	1	2	2	0	2	2
100	2	1	1	1	2	2	2	1	1	1	0	1	2
103	2	2	2	2	3	3	1	1	2	2	2	4	3
105	2	1	1	1	1	1	1	1	1	1	0	0	1
107	2	1	1	1	1	2	1	1	1	1	0	0	1
110	2	1	1	2	2	3	2	1	1	1	0	0	1
111	2	1	1	1	1	2	1	1	1	2	0	0	1
112	2	1	1	1	1	2	1	1	1	1	0	1	2
113	2	1	1	2	3	3	1	2	1	2	0	2	2
115	2	1	1	1	1	2	1	1	1	1	0	0	1
117	2	1	1	1	1	2	1	1	1	2	0	2	2
121	2	1	1	1	1	2	1	1	1	1	0	0	1
122	1	1	1	1	1	1	1	1	1	0	0	0	1
125	2	1	1	2	2	3	2	1	1	1	0	1	2
131	2	1	1	2	2	3	2	1	1	1	0	1	2
132	2	1	1	1	2	2	2	1	1	1	0	1	2
134	2	1	2	2	3	3	1	1	2	4	0	4	3
135	2	2	1	2	3	3	1	1	2	1	1	4	3
138	2	1	2	1	1	2	1	1	1	2	0	1	2
139	2	1	2	2	3	3	1	2	1	2	0	4	3
142	2	2	2	1	1	2	1	1	1	3	1	0	1
146	2	1	1	2	3	3	1	1	2	2	0	4	3
148	2	1	1	2	2	3	2	1	1	1	0	1	2
152	2	1	1	1	1	2	1	1	1	1	0	0	1
154	2	1	1	1	3	2	1	2	1	1	0	2	2
155	2	1	1	1	1	2	1	1	1	4	0	2	2
157	2	1	1	1	2	2	2	1	1	2	0	2	2
158	2	1	1	1	1	2	1	1	1	4	0	0	1
159	2	1	2	1	1	2	1	1	1	2	0	2	2
161	2	1	1	1	1	2	1	1	1	2	0	1	2
164	2	1	1	1	1	2	1	1	1	1	0	3	3
165	1	2	1	1	1	2	1	1	1	0	1	0	1
166	2	2	1	1	1	2	1	1	1	1	1	1	2
